id,name,year,latitude,longitude,city,cuisine,price,url
44,Lord Stanley,2019,37.79592,-122.42208,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley
45,Kinjo,2019,37.79699,-122.422005,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo
46,Sorrel,2019,37.788334,-122.44614,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel
47,Gary Danko,2019,37.80599,-122.42066,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko
48,Bar Crenn,2019,37.798435,-122.43581,San Francisco,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn
49,Spruce,2019,37.78772,-122.45264,San Francisco,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce
50,Wako,2019,37.783035,-122.461525,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako
51,Madcap,2019,37.974712,-122.56168,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap
52,Aubergine,2019,36.55406,-121.924355,Monterey,Contemporary,$$$$,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine
53,Kenzo,2019,38.29924,-122.28928,San Francisco,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo
54,La Toque,2019,38.30351,-122.28349,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque
55,Bouchon,2019,38.40258,-122.3619,San Francisco,French,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon
56,Auberge du Soleil,2019,38.49199,-122.40534,San Francisco,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil
57,Farmhouse Inn & Restaurant,2019,38.49039,-122.8835,San Francisco,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant
58,The Kitchen,2019,38.58894,-121.41424,Sacramento,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371
59,Madrona Manor,2019,38.60428,-122.88647,San Francisco,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor
60,Harbor House,2019,39.135876,-123.719444,San Francisco,Californian,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house
61,Shin Sushi,2019,34.15784,-118.49415,Los Angeles,Japanese,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi
62,Rustic Canyon,2019,34.024952,-118.49118,Los Angeles,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon
63,Dialogue,2019,34.01679,-118.49748,Los Angeles,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue
64,Kato,2019,34.041683,-118.460915,Los Angeles,Asian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato
65,CUT,2019,34.067036,-118.401024,Los Angeles,Steakhouse,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418
66,Nozawa Bar,2019,34.0683,-118.39849,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar
67,Shunji,2019,34.028496,-118.45195,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji
68,Maude,2019,34.064346,-118.39904,Los Angeles,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude
69,Mori Sushi,2019,34.033398,-118.44229,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi
70,Trois Mec,2019,34.084255,-118.33851,Los Angeles,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec
71,Osteria Mozza,2019,34.08342,-118.338974,Los Angeles,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza
72,Kali,2019,34.083443,-118.32455,Los Angeles,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali
73,Le Comptoir,2019,34.06354,-118.30057,Los Angeles,Californian,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir
74,Q Sushi,2019,34.046883,-118.255844,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi
75,Shibumi,2019,34.044155,-118.256134,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644
76,Hayato,2019,34.03311,-118.24265,Los Angeles,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato
77,Bistro Na's,2019,34.104412,-118.07159,Los Angeles,Chinese,$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s
78,Orsa & Winston,2019,33.92145,-118.275406,Los Angeles,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston
79,Taco María,2019,33.69475,-117.924965,Costa Mesa,Mexican,$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria
80,Hana re,2019,33.67759,-117.886566,Costa Mesa,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re
81,Addison,2019,32.939903,-117.20013,San Diego,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison
82,Parachute,2019,41.94483,-87.70638,Chicago,Fusion,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute
83,Goosefoot,2019,41.96856,-87.69596,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot
84,Elizabeth,2019,41.969555,-87.688736,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth
85,EL Ideas,2019,41.863,-87.68686,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas
86,Band of Bohemia,2019,41.967308,-87.67477,Chicago,Gastropub,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia
87,Schwa,2019,41.90888,-87.66792,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa
88,Temporis,2019,41.898907,-87.66725,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis
89,Entente,2019,41.93721,-87.6652,Chicago,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente
90,Elske,2019,41.884426,-87.66071,Chicago,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske
91,Dusek's (Board & Beer),2019,41.857853,-87.65757,Chicago,Gastropub,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer
92,Roister,2019,41.886658,-87.65187,Chicago,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister
93,Boka,2019,41.91363,-87.64806,Chicago,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka
94,Blackbird,2019,41.88423,-87.64356,Chicago,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird
95,Sepia,2019,41.88394,-87.64247,Chicago,American,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia
96,North Pond,2019,41.9296,-87.63762,Chicago,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond
97,Everest,2019,41.87597,-87.63212,Chicago,French,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest
98,Topolobampo,2019,41.89047,-87.63085,Chicago,Mexican,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo
99,Spiaggia,2019,41.90062,-87.62457,Chicago,Italian,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia
100,Monte,2019,45.08279,13.631168,Rovinj,Creative,$$$$$,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte
101,Draga di Lovrana,2019,45.275867,14.251401,Lovran,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana
102,Noel,2019,45.811054,15.988205,Zagreb,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel
103,Pelegrini,2019,43.73603,15.888903,Šibenik,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini
104,360º,2019,42.641563,18.111523,Dubrovnik,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA
105,Field,2019,50.0919,14.42193,Praha,Modern cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/field
106,La Degustation Bohême Bourgeoise,2019,50.09115,14.42511,Praha,Modern cuisine,$$$$$,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise
107,Gastromé,2019,56.15788,10.20937,Aarhus,Modern cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome
108,Domestic,2019,56.15893,10.212132,Aarhus,Modern cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic
109,Substans,2019,56.15415,10.20372,Aarhus,Modern cuisine,$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans
110,Frederikshøj,2019,56.12497,10.208638,Aarhus,Creative,$$$$,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj
111,Me‚Mu,2019,55.70901,9.53302,Vejle,Modern cuisine,$$$,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu
112,Ti Trin Ned,2019,55.56659,9.752689,Fredericia,Modern cuisine,$$$,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned
113,Slotskøkkenet,2019,55.771236,11.390805,Hørve,Creative,$$$$,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet
114,Søllerød Kro,2019,55.81325,12.49548,København,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro
115,Jordnær,2019,55.748226,12.541014,København,Danish,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer
116,Relæ,2019,55.693233,12.543222,København,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae
117,Kiin Kiin,2019,55.69188,12.55754,København,Thai,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin
118,formel B,2019,55.67031,12.53798,København,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b
119,Kokkeriet,2019,55.68768,12.58492,København,Modern cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet
120,Clou,2019,55.68342,12.58497,København,Modern cuisine,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou
121,Marchal,2019,55.68034,12.58508,København,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal
122,Kong Hans Kælder,2019,55.6787,12.584003,København,Classic French,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder
123,Stud!o at The Standard,2019,55.67799,12.59191,København,Creative,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard
124,108,2019,55.67785,12.5980835,København,Modern cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108
125,Era Ora,2019,55.673004,12.591292,København,Italian,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora
126,Alouette,2019,55.66265,12.57634,København,Modern cuisine,$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette
127,Frederiksminde,2019,55.12417,12.04623,Præstø,Creative,$$$,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde
128,Kadeau Bornholm,2019,55.00457,14.969216,Pedersker,Creative,$$$$,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm
129,Ask,2019,60.17236,24.95648,Helsingfors / Helsinki,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask
130,Grön,2019,60.16446,24.93308,Helsingfors / Helsinki,Finnish,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron
131,Demo,2019,60.164806,24.941635,Helsingfors / Helsinki,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo
132,Olo,2019,60.16616,24.947704,Helsingfors / Helsinki,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo
133,Palace,2019,60.16556,24.95256,Helsingfors / Helsinki,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace
134,Ora,2019,60.157578,24.942947,Helsingfors / Helsinki,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora
135,Botrini's,2019,38.02318,23.79377,Athína,Mediterranean,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s
136,Varoulko Seaside,2019,37.937378,23.658577,Athína,Seafood,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/varoulko-seaside
137,Hytra,2019,37.95818,23.71895,Athína,Modern cuisine,$$$$$,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra
138,Loaf On,2019,22.379858,114.27188,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on
139,Lei Garden (Kwun Tong),2019,22.312672,114.22482,Hong Kong,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong
140,Tim Ho Wan (Sham Shui Po),2019,22.32805,114.16665,Hong Kong,Dim Sum,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po
141,Lei Garden (Mong Kok),2019,22.320219,114.17133,Hong Kong,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok
142,Ming Court,2019,22.318314,114.16933,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court
143,Yat Tung Heen (Jordan),2019,22.308014,114.17147,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan
144,Fu Ho (Tsim Sha Tsui),2019,22.3022,114.17194,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui
145,Shang Palace,2019,22.297325,114.177155,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/shang-palace
146,IM Teppanyaki & Wine,2019,22.280807,114.19211,Hong Kong,Teppanyaki,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine
147,Ah Yat Harbour View (Tsim Sha Tsui),2019,22.296984,114.17197,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui
148,Rech,2019,22.293434,114.174034,Hong Kong,Seafood,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech
149,Spring Moon,2019,22.294943,114.17182,Hong Kong,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/spring-moon
150,Imperial Treasure Fine Chinese Cuisine,2019,22.296177,114.170006,Hong Kong,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine
